marker_value,marker_type,Colère,Dégoût,Joie,Peur,Surprise,Tristesse,Admiration,Culpabilité,Embarras,Fierté,Jalousie,total_count,P(Colère),P(Dégoût),P(Joie),P(Peur),P(Surprise),P(Tristesse),P(Admiration),P(Culpabilité),P(Embarras),P(Fierté),P(Jalousie),entropy,normalized_entropy
s,word,60.0,2.0,56.0,72.0,21.0,21.0,3.0,1.0,7.0,3.0,0.0,246.0,0.24390243902439024,0.008130081300813009,0.22764227642276422,0.2926829268292683,0.08536585365853659,0.08536585365853659,0.012195121951219513,0.0040650406504065045,0.028455284552845527,0.012195121951219513,0.0,2.497398640741591,0.7219101043324971
penser,lemma,5.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,14.0,0.35714285714285715,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.0,0.0,0.0,0.07142857142857142,0.0,2.495602923729013,0.7213910257061403
voler,lemma,5.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,14.0,0.35714285714285715,0.0,0.07142857142857142,0.21428571428571427,0.0,0.07142857142857142,0.0,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.0,2.495602923729013,0.7213910257061403
nouveau,lemma,8.0,0.0,13.0,3.0,2.0,4.0,3.0,0.0,0.0,3.0,0.0,36.0,0.2222222222222222,0.0,0.3611111111111111,0.08333333333333333,0.05555555555555555,0.1111111111111111,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,2.492970033599962,0.7206299497782721
jour,lemma,1.0,1.0,7.0,5.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,21.0,0.047619047619047616,0.047619047619047616,0.3333333333333333,0.23809523809523808,0.09523809523809523,0.14285714285714285,0.0,0.0,0.0,0.09523809523809523,0.0,2.486793021302403,0.7188443927913147
nombreux,word,2.0,0.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,11.0,0.18181818181818182,0.0,0.18181818181818182,0.2727272727272727,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.18181818181818182,0.0,2.481714572986073,0.7173763920107904
sœur,lemma,2.0,0.0,3.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,11.0,0.18181818181818182,0.0,0.2727272727272727,0.18181818181818182,0.0,0.18181818181818182,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,2.481714572986073,0.7173763920107904
grande,word,3.0,0.0,11.0,2.0,7.0,1.0,3.0,0.0,0.0,7.0,0.0,34.0,0.08823529411764706,0.0,0.3235294117647059,0.058823529411764705,0.20588235294117646,0.029411764705882353,0.08823529411764706,0.0,0.0,0.20588235294117646,0.0,2.473742496599055,0.715071945134584
mon,word,4.0,0.0,3.0,6.0,1.0,8.0,0.0,0.0,2.0,1.0,0.0,25.0,0.16,0.0,0.12,0.24,0.04,0.32,0.0,0.0,0.08,0.04,0.0,2.4732696895151083,0.7149352732369813
dire,lemma,23.0,1.0,7.0,3.0,2.0,5.0,0.0,1.0,9.0,2.0,0.0,53.0,0.4339622641509434,0.018867924528301886,0.1320754716981132,0.05660377358490566,0.03773584905660377,0.09433962264150944,0.0,0.018867924528301886,0.16981132075471697,0.03773584905660377,0.0,2.4715570124255457,0.7144401985315482
en,word,164.0,2.0,46.0,105.0,26.0,45.0,13.0,1.0,8.0,18.0,0.0,428.0,0.38317757009345793,0.004672897196261682,0.10747663551401869,0.24532710280373832,0.06074766355140187,0.10514018691588785,0.030373831775700934,0.002336448598130841,0.018691588785046728,0.04205607476635514,0.0,2.4699077657020094,0.7139634593138539
dire,word,9.0,0.0,1.0,2.0,1.0,3.0,0.0,1.0,6.0,1.0,0.0,24.0,0.375,0.0,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.125,0.0,0.041666666666666664,0.25,0.041666666666666664,0.0,2.468546354076522,0.7135699230987851
même,word,17.0,3.0,9.0,9.0,40.0,16.0,3.0,0.0,0.0,3.0,0.0,100.0,0.17,0.03,0.09,0.09,0.4,0.16,0.03,0.0,0.0,0.03,0.0,2.4669831434827016,0.7131180538999842
en,lemma,174.0,3.0,47.0,106.0,27.0,45.0,14.0,1.0,8.0,18.0,0.0,443.0,0.3927765237020316,0.006772009029345372,0.10609480812641084,0.23927765237020315,0.060948081264108354,0.10158013544018059,0.03160270880361174,0.002257336343115124,0.01805869074492099,0.040632054176072234,0.0,2.4662661146940534,0.7129107860977286
coup,lemma,6.0,0.0,4.0,9.0,2.0,5.0,1.0,0.0,0.0,1.0,0.0,28.0,0.21428571428571427,0.0,0.14285714285714285,0.32142857142857145,0.07142857142857142,0.17857142857142858,0.03571428571428571,0.0,0.0,0.03571428571428571,0.0,2.462757047352441,0.7118964381560876
cet,word,2.0,0.0,4.0,3.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,16.0,0.125,0.0,0.25,0.1875,0.0,0.0625,0.25,0.0,0.0,0.125,0.0,2.452819531114783,0.709023851750818
vivre,lemma,6.0,0.0,3.0,3.0,2.0,10.0,0.0,0.0,1.0,2.0,0.0,27.0,0.2222222222222222,0.0,0.1111111111111111,0.1111111111111111,0.07407407407407407,0.37037037037037035,0.0,0.0,0.037037037037037035,0.07407407407407407,0.0,2.4497456148476355,0.7081352906789392
jouer,lemma,3.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,13.0,0.23076923076923078,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.0,0.23076923076923078,0.0,0.0,0.0,0.23076923076923078,0.0,2.449311833026446,0.7080098996121371
tellement,lemma,1.0,0.0,3.0,1.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,14.0,0.07142857142857142,0.0,0.21428571428571427,0.07142857142857142,0.0,0.21428571428571427,0.21428571428571427,0.0,0.21428571428571427,0.0,0.0,2.4488156357251847,0.7078664664254286
tellement,word,1.0,0.0,3.0,1.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,14.0,0.07142857142857142,0.0,0.21428571428571427,0.07142857142857142,0.0,0.21428571428571427,0.21428571428571427,0.0,0.21428571428571427,0.0,0.0,2.4488156357251847,0.7078664664254286
