corpus,dimension,measure,label,count,denominator,proportion,percent,denominator_description
TTK-Glozz,emotion,emotion_unit_presence,Dégoût,80,8243,0.0097052,0.9705,all emotion annotation units; multi-label units can be counted in several labels
TTK-Glozz,emotion,emotion_unit_presence,Joie,1223,8243,0.14836831,14.8368,all emotion annotation units; multi-label units can be counted in several labels
TTK-Glozz,emotion,emotion_unit_presence,Peur,1485,8243,0.18015286,18.0153,all emotion annotation units; multi-label units can be counted in several labels
TTK-Glozz,emotion,emotion_unit_presence,Surprise,1233,8243,0.14958146,14.9581,all emotion annotation units; multi-label units can be counted in several labels
TTK-Glozz,emotion,emotion_unit_presence,Tristesse,950,8243,0.1152493,11.5249,all emotion annotation units; multi-label units can be counted in several labels
TTK-Glozz,emotion,emotion_unit_presence,Admiration,272,8243,0.0329977,3.2998,all emotion annotation units; multi-label units can be counted in several labels
TTK-Glozz,emotion,emotion_unit_presence,Culpabilité,25,8243,0.00303288,0.3033,all emotion annotation units; multi-label units can be counted in several labels
TTK-Glozz,emotion,emotion_unit_presence,Embarras,238,8243,0.02887298,2.8873,all emotion annotation units; multi-label units can be counted in several labels
TTK-Glozz,emotion,emotion_unit_presence,Fierté,269,8243,0.03263375,3.2634,all emotion annotation units; multi-label units can be counted in several labels
TTK-Glozz,emotion,emotion_unit_presence,Jalousie,9,8243,0.00109184,0.1092,all emotion annotation units; multi-label units can be counted in several labels
TTK-Glozz,emotion,emotion_unit_presence,Autre,1432,8243,0.17372316,17.3723,all emotion annotation units; multi-label units can be counted in several labels
TTK-Glozz,mode,mode_unit_share,Comportementale,1450,6811,0.21289091,21.2891,all units with a valid mode; TTK-Glozz Autre units have no mode and are excluded
TTK-Glozz,mode,mode_unit_share,Désignée,1688,6811,0.24783439,24.7834,all units with a valid mode; TTK-Glozz Autre units have no mode and are excluded
TTK-Glozz,mode,mode_unit_share,Montrée,1424,6811,0.20907356,20.9074,all units with a valid mode; TTK-Glozz Autre units have no mode and are excluded
TTK-Glozz,mode,mode_unit_share,Suggérée,2249,6811,0.33020115,33.0201,all units with a valid mode; TTK-Glozz Autre units have no mode and are excluded
