marker_value,spacy_count,stanza_count,total_count,in_lexique_emotionnel
végans,1,1,2,False
zone,1,1,2,False
zones,1,1,2,False
éblouis,1,1,2,False
éclater,1,1,2,False
éclaté,1,1,2,False
écraser,1,1,2,False
écrasés,1,1,2,False
écroule,1,1,2,False
électromagnétique,1,1,2,False
électromagnétiques,1,1,2,False
élevé,1,1,2,False
élevée,1,1,2,False
élue,1,1,2,False
élève,1,1,2,False
élèves,1,1,2,False
émises,1,1,2,False
épidémique,1,1,2,False
épidémiques,1,1,2,False
éternel,1,1,2,False
éternelle,1,1,2,False
étranges,1,1,2,False
évoluent,1,1,2,False
évoluer,1,1,2,False
œil,0,2,2,False
œuvre,1,1,2,False
œuvres,1,1,2,False
…,1,1,2,False
acteur,1,0,1,False
affligé,0,1,1,False
angoissante,1,0,1,False
animer,1,0,1,False
augment,1,0,1,False
augmenter,0,1,1,False
bas,1,0,1,False
blessé,0,1,1,False
bolo,0,1,1,False
boucher,1,0,1,False
calédonien,1,0,1,False
central,0,1,1,False
charcutier,1,0,1,False
combler,1,0,1,False
communiqu,1,0,1,False
communiquer,0,1,1,False
crain,1,0,1,False
craintife,0,1,1,False
célébrer,0,1,1,False
débouch,1,0,1,False
déboucher,0,1,1,False
découragé,0,1,1,False
dégeuler,1,0,1,False
dégouteee,1,0,1,False
dégouter,1,0,1,False
dégouté,0,1,1,False
délic,1,0,1,False
déranger,1,0,1,False
désapprouver,0,1,1,False
désavantager,1,0,1,False
désavantagé,0,1,1,False
désespérémer,1,0,1,False
désoler,1,0,1,False
effrai,1,0,1,False
emballer,1,0,1,False
emballé,0,1,1,False
entour,1,0,1,False
entourer,0,1,1,False
exaspéré,0,1,1,False
excus,1,0,1,False
fass,1,0,1,False
fini,0,1,1,False
fissurer,1,0,1,False
française,0,1,1,False
frapper,0,1,1,False
froisser,1,0,1,False
furieur,0,1,1,False
fâchai,1,0,1,False
gronder,1,0,1,False
homosexuelle,0,1,1,False
humaniser,1,0,1,False
humiliée,0,1,1,False
hôtel,1,0,1,False
idol,1,0,1,False
introduire,1,0,1,False
joviale,0,1,1,False
libremer,1,0,1,False
licencier,1,0,1,False
licenciée,0,1,1,False
mener,0,1,1,False
montr,1,0,1,False
moquer,1,0,1,False
mécontentemer,1,0,1,False
méfiante,0,1,1,False
nauséabond,1,0,1,False
party,1,0,1,False
parvenir,1,0,1,False
perd,1,0,1,False
ragoûter,1,0,1,False
redémarrer,1,0,1,False
rend,1,0,1,False
rendre,0,1,1,False
renvoyé,0,1,1,False
restaurant,1,0,1,False
retenir,1,0,1,False
rigolot,0,1,1,False
romp,1,0,1,False
royaume,1,0,1,False
rè,1,0,1,False
réagir,0,1,1,False
sentirai,1,0,1,False
sou,1,0,1,False
suffire,0,1,1,False
sévir,1,0,1,False
taire,1,0,1,False
tracass,1,0,1,False
traumatiser,1,0,1,False
tumult,1,0,1,False
uni,1,0,1,False
vrombissemer,1,0,1,False
ébloui,0,1,1,False
éblouir,1,0,1,False
écroul,1,0,1,False
écrouler,0,1,1,False
écœurer,1,0,1,False
électriser,1,0,1,False
émettre,1,0,1,False
émise,0,1,1,False
épouvant,1,0,1,False
