marker_value,marker_type,Comportementale,Designee,Montree,Suggeree,total_count,P(Comportementale),P(Designee),P(Montree),P(Suggeree),entropy,normalized_entropy
fatima,word,3.0,1.0,7.0,3.0,14.0,0.21428571428571427,0.07142857142857142,0.5,0.21428571428571427,1.7244078178625923,0.8622039089312962
fatima,lemma,3.0,1.0,7.0,3.0,14.0,0.21428571428571427,0.07142857142857142,0.5,0.21428571428571427,1.7244078178625923,0.8622039089312962
',punctuation,25.0,18.0,94.0,47.0,184.0,0.1358695652173913,0.09782608695652174,0.5108695652173914,0.2554347826086957,1.7173006361826835,0.8586503180913417
ca,word,4.0,1.0,8.0,3.0,16.0,0.25,0.0625,0.5,0.1875,1.7028195311147831,0.8514097655573916
vous,word,7.0,11.0,41.0,21.0,80.0,0.0875,0.1375,0.5125,0.2625,1.7018839657985012,0.8509419828992506
vous,lemma,7.0,11.0,41.0,21.0,80.0,0.0875,0.1375,0.5125,0.2625,1.7018839657985012,0.8509419828992506
on,word,13.0,2.0,24.0,14.0,53.0,0.24528301886792453,0.03773584905660377,0.4528301886792453,0.2641509433962264,1.7006037515075692,0.8503018757537846
les,word,10.0,4.0,31.0,21.0,66.0,0.15151515151515152,0.06060606060606061,0.4696969696969697,0.3181818181818182,1.695333021642988,0.847666510821494
on,lemma,16.0,2.0,28.0,18.0,64.0,0.25,0.03125,0.4375,0.28125,1.6927408149441476,0.8463704074720738
veut,word,7.0,2.0,5.0,1.0,15.0,0.4666666666666667,0.13333333333333333,0.3333333333333333,0.06666666666666667,1.6894822670191825,0.8447411335095912
allez,word,3.0,1.0,5.0,1.0,10.0,0.3,0.1,0.5,0.1,1.6854752972273344,0.8427376486136672
avec,word,3.0,2.0,10.0,3.0,18.0,0.16666666666666666,0.1111111111111111,0.5555555555555556,0.16666666666666666,1.6849774484867255,0.8424887242433627
avec,lemma,3.0,2.0,10.0,3.0,18.0,0.16666666666666666,0.1111111111111111,0.5555555555555556,0.16666666666666666,1.6849774484867255,0.8424887242433627
voir,lemma,5.0,2.0,16.0,12.0,35.0,0.14285714285714285,0.05714285714285714,0.45714285714285713,0.34285714285714286,1.6827347174280898,0.8413673587140449
bon,word,3.0,2.0,11.0,4.0,20.0,0.15,0.1,0.55,0.2,1.6814963295286753,0.8407481647643377
bon,lemma,3.0,2.0,11.0,4.0,20.0,0.15,0.1,0.55,0.2,1.6814963295286753,0.8407481647643377
autre,lemma,4.0,1.0,10.0,5.0,20.0,0.2,0.05,0.5,0.25,1.6804820237218405,0.8402410118609203
",",punctuation,3.0,2.0,12.0,5.0,22.0,0.13636363636363635,0.09090909090909091,0.5454545454545454,0.22727272727272727,1.6692462556711996,0.8346231278355998
dire,lemma,5.0,1.0,11.0,4.0,21.0,0.23809523809523808,0.047619047619047616,0.5238095238095238,0.19047619047619047,1.6464417904241373,0.8232208952120686
moi,lemma,16.0,7.0,40.0,8.0,71.0,0.22535211267605634,0.09859154929577464,0.5633802816901409,0.11267605633802817,1.6352596793652774,0.8176298396826387
meme,word,2.0,3.0,14.0,6.0,25.0,0.08,0.12,0.56,0.24,1.6211509331628502,0.8105754665814251
être,lemma,12.0,10.0,65.0,32.0,119.0,0.10084033613445378,0.08403361344537816,0.5462184873949579,0.2689075630252101,1.62008886579217,0.810044432896085
de,word,19.0,14.0,80.0,23.0,136.0,0.13970588235294118,0.10294117647058823,0.5882352941176471,0.16911764705882354,1.6182733982758184,0.8091366991379092
ça,lemma,7.0,1.0,17.0,8.0,33.0,0.21212121212121213,0.030303030303030304,0.5151515151515151,0.24242424242424243,1.6159591873687869,0.8079795936843934
a,word,9.0,6.0,40.0,14.0,69.0,0.13043478260869565,0.08695652173913043,0.5797101449275363,0.2028985507246377,1.6125941274794922,0.8062970637397461
la,word,20.0,8.0,75.0,31.0,134.0,0.14925373134328357,0.05970149253731343,0.5597014925373134,0.23134328358208955,1.6095216583164929,0.8047608291582464
de,lemma,20.0,16.0,95.0,29.0,160.0,0.125,0.1,0.59375,0.18125,1.6003262602130692,0.8001631301065346
le,lemma,40.0,18.0,169.0,69.0,296.0,0.13513513513513514,0.060810810810810814,0.5709459459459459,0.23310810810810811,1.5872486829571966,0.7936243414785983
oyé,word,3.0,0.0,3.0,3.0,9.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.584962500721156,0.792481250360578
devant,word,2.0,0.0,2.0,2.0,6.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.584962500721156,0.792481250360578
oyé,lemma,3.0,0.0,3.0,3.0,9.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.584962500721156,0.792481250360578
plainte,lemma,2.0,0.0,2.0,2.0,6.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.584962500721156,0.792481250360578
plainte,word,2.0,0.0,2.0,2.0,6.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.584962500721156,0.792481250360578
réconforter,lemma,2.0,0.0,2.0,2.0,6.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.584962500721156,0.792481250360578
repostez,lemma,3.0,0.0,3.0,3.0,9.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.584962500721156,0.792481250360578
réconforter,word,2.0,0.0,2.0,2.0,6.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.584962500721156,0.792481250360578
repostez,word,3.0,0.0,3.0,3.0,9.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.584962500721156,0.792481250360578
story,word,3.0,0.0,3.0,3.0,9.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.584962500721156,0.792481250360578
story,lemma,3.0,0.0,3.0,3.0,9.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.584962500721156,0.792481250360578
devant,lemma,2.0,0.0,2.0,2.0,6.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.584962500721156,0.792481250360578
photos,word,3.0,0.0,3.0,3.0,9.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.584962500721156,0.792481250360578
negre,word,3.0,0.0,3.0,3.0,9.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.584962500721156,0.792481250360578
negre,lemma,3.0,0.0,3.0,3.0,9.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.584962500721156,0.792481250360578
pour,word,4.0,2.0,16.0,5.0,27.0,0.14814814814814814,0.07407407407407407,0.5925925925925926,0.18518518518518517,1.5841600771843274,0.7920800385921637
pour,lemma,4.0,2.0,16.0,5.0,27.0,0.14814814814814814,0.07407407407407407,0.5925925925925926,0.18518518518518517,1.5841600771843274,0.7920800385921637
qu'on,word,3.0,0.0,4.0,4.0,11.0,0.2727272727272727,0.0,0.36363636363636365,0.36363636363636365,1.5726236638951638,0.7863118319475819
photo,lemma,3.0,0.0,4.0,3.0,10.0,0.3,0.0,0.4,0.3,1.5709505944546684,0.7854752972273342
même,lemma,4.0,3.0,20.0,6.0,33.0,0.12121212121212122,0.09090909090909091,0.6060606060606061,0.18181818181818182,1.568538834381555,0.7842694171907775
porter,word,2.0,0.0,3.0,2.0,7.0,0.2857142857142857,0.0,0.42857142857142855,0.2857142857142857,1.5566567074628228,0.7783283537314114
tranquille,lemma,2.0,0.0,3.0,2.0,7.0,0.2857142857142857,0.0,0.42857142857142855,0.2857142857142857,1.5566567074628228,0.7783283537314114
tranquille,word,2.0,0.0,3.0,2.0,7.0,0.2857142857142857,0.0,0.42857142857142855,0.2857142857142857,1.5566567074628228,0.7783283537314114
si,word,5.0,1.0,17.0,7.0,30.0,0.16666666666666666,0.03333333333333333,0.5666666666666667,0.23333333333333334,1.5486241546053248,0.7743120773026624
si,lemma,5.0,1.0,17.0,7.0,30.0,0.16666666666666666,0.03333333333333333,0.5666666666666667,0.23333333333333334,1.5486241546053248,0.7743120773026624
mais,word,10.0,13.0,59.0,12.0,94.0,0.10638297872340426,0.13829787234042554,0.6276595744680851,0.1276595744680851,1.5394772856594423,0.7697386428297212
mais,lemma,10.0,13.0,59.0,12.0,94.0,0.10638297872340426,0.13829787234042554,0.6276595744680851,0.1276595744680851,1.5394772856594423,0.7697386428297212
tu,word,14.0,15.0,74.0,14.0,117.0,0.11965811965811966,0.1282051282051282,0.6324786324786325,0.11965811965811966,1.5309728750681653,0.7654864375340826
ce,lemma,0.0,4.0,6.0,8.0,18.0,0.0,0.2222222222222222,0.3333333333333333,0.4444444444444444,1.5304930567574826,0.7652465283787413
y,word,3.0,0.0,4.0,2.0,9.0,0.3333333333333333,0.0,0.4444444444444444,0.2222222222222222,1.5304930567574824,0.7652465283787412
-,punctuation,4.0,0.0,3.0,2.0,9.0,0.4444444444444444,0.0,0.3333333333333333,0.2222222222222222,1.5304930567574824,0.7652465283787412
ce,word,0.0,4.0,5.0,8.0,17.0,0.0,0.23529411764705882,0.29411764705882354,0.47058823529411764,1.522189872165821,0.7610949360829105
quand,word,4.0,2.0,4.0,0.0,10.0,0.4,0.2,0.4,0.0,1.5219280948873621,0.7609640474436811
quand,lemma,4.0,2.0,4.0,0.0,10.0,0.4,0.2,0.4,0.0,1.5219280948873621,0.7609640474436811
devoir,word,2.0,2.0,1.0,0.0,5.0,0.4,0.4,0.2,0.0,1.5219280948873621,0.7609640474436811
dire,word,2.0,0.0,2.0,1.0,5.0,0.4,0.0,0.4,0.2,1.5219280948873621,0.7609640474436811
tkt,word,2.0,0.0,1.0,2.0,5.0,0.4,0.0,0.2,0.4,1.5219280948873621,0.7609640474436811
tkt,lemma,2.0,0.0,1.0,2.0,5.0,0.4,0.0,0.2,0.4,1.5219280948873621,0.7609640474436811
le,word,5.0,3.0,28.0,10.0,46.0,0.10869565217391304,0.06521739130434782,0.6086956521739131,0.21739130434782608,1.5194370268594732,0.7597185134297366
toi,lemma,27.0,20.0,128.0,24.0,199.0,0.135678391959799,0.10050251256281408,0.6432160804020101,0.12060301507537688,1.5016516332397862,0.7508258166198931
frr,word,0.0,2.0,4.0,2.0,8.0,0.0,0.25,0.5,0.25,1.5,0.75
venir,lemma,2.0,0.0,4.0,2.0,8.0,0.25,0.0,0.5,0.25,1.5,0.75
autre,word,2.0,0.0,4.0,2.0,8.0,0.25,0.0,0.5,0.25,1.5,0.75
frr,lemma,0.0,2.0,4.0,2.0,8.0,0.0,0.25,0.5,0.25,1.5,0.75
porter,lemma,2.0,0.0,4.0,2.0,8.0,0.25,0.0,0.5,0.25,1.5,0.75
voile,lemma,0.0,2.0,4.0,2.0,8.0,0.0,0.25,0.5,0.25,1.5,0.75
voile,word,0.0,2.0,4.0,2.0,8.0,0.0,0.25,0.5,0.25,1.5,0.75
y,lemma,3.0,0.0,5.0,2.0,10.0,0.3,0.0,0.5,0.2,1.4854752972273344,0.7427376486136672
arrete,word,3.0,0.0,5.0,2.0,10.0,0.3,0.0,0.5,0.2,1.4854752972273344,0.7427376486136672
arrete,lemma,3.0,0.0,5.0,2.0,10.0,0.3,0.0,0.5,0.2,1.4854752972273344,0.7427376486136672
vas,word,5.0,0.0,5.0,2.0,12.0,0.4166666666666667,0.0,0.4166666666666667,0.16666666666666666,1.4833557549816874,0.7416778774908437
je,word,11.0,1.0,25.0,6.0,43.0,0.2558139534883721,0.023255813953488372,0.5813953488372093,0.13953488372093023,1.4806850441508113,0.7403425220754056
avoir,lemma,15.0,8.0,78.0,21.0,122.0,0.12295081967213115,0.06557377049180328,0.639344262295082,0.1721311475409836,1.479070141794549,0.7395350708972745
quoi,lemma,5.0,3.0,26.0,6.0,40.0,0.125,0.075,0.65,0.15,1.469784703572472,0.734892351786236
quoi,word,5.0,3.0,26.0,6.0,40.0,0.125,0.075,0.65,0.15,1.469784703572472,0.734892351786236
mérite,word,0.0,2.0,5.0,6.0,13.0,0.0,0.15384615384615385,0.38461538461538464,0.46153846153846156,1.4604846813131116,0.7302423406565558
laisse,word,0.0,1.0,2.0,3.0,6.0,0.0,0.16666666666666666,0.3333333333333333,0.5,1.4591479170272448,0.7295739585136224
deja,lemma,2.0,1.0,3.0,0.0,6.0,0.3333333333333333,0.16666666666666666,0.5,0.0,1.4591479170272448,0.7295739585136224
deja,word,2.0,1.0,3.0,0.0,6.0,0.3333333333333333,0.16666666666666666,0.5,0.0,1.4591479170272448,0.7295739585136224
donc,word,2.0,1.0,3.0,0.0,6.0,0.3333333333333333,0.16666666666666666,0.5,0.0,1.4591479170272448,0.7295739585136224
insulte,word,3.0,2.0,1.0,0.0,6.0,0.5,0.3333333333333333,0.16666666666666666,0.0,1.4591479170272448,0.7295739585136224
donc,lemma,2.0,1.0,3.0,0.0,6.0,0.3333333333333333,0.16666666666666666,0.5,0.0,1.4591479170272448,0.7295739585136224
trop,word,0.0,3.0,1.0,2.0,6.0,0.0,0.5,0.16666666666666666,0.3333333333333333,1.4591479170272446,0.7295739585136223
sort,word,0.0,1.0,3.0,2.0,6.0,0.0,0.16666666666666666,0.5,0.3333333333333333,1.4591479170272446,0.7295739585136223
trop,lemma,0.0,3.0,1.0,2.0,6.0,0.0,0.5,0.16666666666666666,0.3333333333333333,1.4591479170272446,0.7295739585136223
bande,lemma,2.0,4.0,12.0,1.0,19.0,0.10526315789473684,0.21052631578947367,0.631578947368421,0.05263157894736842,1.457424881409171,0.7287124407045855
bande,word,2.0,4.0,12.0,1.0,19.0,0.10526315789473684,0.21052631578947367,0.631578947368421,0.05263157894736842,1.457424881409171,0.7287124407045855
son,lemma,23.0,12.0,124.0,32.0,191.0,0.12041884816753927,0.06282722513089005,0.6492146596858639,0.16753926701570682,1.4550109354392162,0.7275054677196081
plat,lemma,0.0,1.0,3.0,3.0,7.0,0.0,0.14285714285714285,0.42857142857142855,0.42857142857142855,1.4488156357251847,0.7244078178625923
chose,word,1.0,0.0,3.0,3.0,7.0,0.14285714285714285,0.0,0.42857142857142855,0.42857142857142855,1.4488156357251847,0.7244078178625923
ça,word,3.0,0.0,9.0,5.0,17.0,0.17647058823529413,0.0,0.5294117647058824,0.29411764705882354,1.4466479595102752,0.7233239797551376
te,word,9.0,2.0,26.0,4.0,41.0,0.21951219512195122,0.04878048780487805,0.6341463414634146,0.0975609756097561,1.4370457196266397,0.7185228598133199
arthur,lemma,2.0,0.0,6.0,3.0,11.0,0.18181818181818182,0.0,0.5454545454545454,0.2727272727272727,1.4353713907745331,0.7176856953872666
arthur,word,2.0,0.0,6.0,3.0,11.0,0.18181818181818182,0.0,0.5454545454545454,0.2727272727272727,1.4353713907745331,0.7176856953872666
qui,lemma,1.0,1.0,11.0,5.0,18.0,0.05555555555555555,0.05555555555555555,0.6111111111111112,0.2777777777777778,1.4108478748063633,0.7054239374031817
qui,word,1.0,1.0,11.0,5.0,18.0,0.05555555555555555,0.05555555555555555,0.6111111111111112,0.2777777777777778,1.4108478748063633,0.7054239374031817
tous,word,3.0,0.0,12.0,9.0,24.0,0.125,0.0,0.5,0.375,1.4056390622295665,0.7028195311147832
c,word,2.0,4.0,30.0,11.0,47.0,0.0425531914893617,0.0851063829787234,0.6382978723404256,0.23404255319148937,1.4001108586294284,0.7000554293147142
c,lemma,2.0,4.0,30.0,11.0,47.0,0.0425531914893617,0.0851063829787234,0.6382978723404256,0.23404255319148937,1.4001108586294284,0.7000554293147142
comme,word,0.0,4.0,15.0,8.0,27.0,0.0,0.14814814814814814,0.5555555555555556,0.2962962962962963,1.3992075416402174,0.6996037708201087
comme,lemma,0.0,4.0,15.0,8.0,27.0,0.0,0.14814814814814814,0.5555555555555556,0.2962962962962963,1.3992075416402174,0.6996037708201087
un,word,5.0,2.0,25.0,5.0,37.0,0.13513513513513514,0.05405405405405406,0.6756756756756757,0.13513513513513514,1.390110509054849,0.6950552545274244
toi,word,4.0,3.0,28.0,6.0,41.0,0.0975609756097561,0.07317073170731707,0.6829268292682927,0.14634146341463414,1.3850983381765392,0.6925491690882696
que,lemma,3.0,5.0,35.0,9.0,52.0,0.057692307692307696,0.09615384615384616,0.6730769230769231,0.17307692307692307,1.3846943607823436,0.6923471803911718
faire,lemma,10.0,2.0,35.0,6.0,53.0,0.18867924528301888,0.03773584905660377,0.660377358490566,0.11320754716981132,1.3835060857655694,0.6917530428827847
et,word,10.0,3.0,52.0,13.0,78.0,0.1282051282051282,0.038461538461538464,0.6666666666666666,0.16666666666666666,1.3815208069365037,0.6907604034682518
et,lemma,10.0,3.0,52.0,13.0,78.0,0.1282051282051282,0.038461538461538464,0.6666666666666666,0.16666666666666666,1.3815208069365037,0.6907604034682518
putain,lemma,1.0,0.0,4.0,2.0,7.0,0.14285714285714285,0.0,0.5714285714285714,0.2857142857142857,1.3787834934861753,0.6893917467430877
fait,word,1.0,0.0,4.0,2.0,7.0,0.14285714285714285,0.0,0.5714285714285714,0.2857142857142857,1.3787834934861753,0.6893917467430877
es,word,0.0,2.0,4.0,1.0,7.0,0.0,0.2857142857142857,0.5714285714285714,0.14285714285714285,1.3787834934861753,0.6893917467430877
êtes,word,1.0,0.0,4.0,2.0,7.0,0.14285714285714285,0.0,0.5714285714285714,0.2857142857142857,1.3787834934861753,0.6893917467430877
qu'il,word,0.0,2.0,1.0,4.0,7.0,0.0,0.2857142857142857,0.14285714285714285,0.5714285714285714,1.3787834934861753,0.6893917467430877
putain,word,1.0,0.0,4.0,2.0,7.0,0.14285714285714285,0.0,0.5714285714285714,0.2857142857142857,1.3787834934861753,0.6893917467430877
mériter,lemma,0.0,2.0,8.0,9.0,19.0,0.0,0.10526315789473684,0.42105263157894735,0.47368421052631576,1.3779630390761746,0.6889815195380873
rien,word,7.0,0.0,21.0,7.0,35.0,0.2,0.0,0.6,0.2,1.3709505944546687,0.6854752972273344
rien,lemma,7.0,0.0,21.0,7.0,35.0,0.2,0.0,0.6,0.2,1.3709505944546687,0.6854752972273344
vais,word,2.0,0.0,6.0,2.0,10.0,0.2,0.0,0.6,0.2,1.3709505944546687,0.6854752972273344
tout,lemma,3.0,0.0,15.0,12.0,30.0,0.1,0.0,0.5,0.4,1.360964047443681,0.6804820237218405
sortir,lemma,0.0,1.0,5.0,5.0,11.0,0.0,0.09090909090909091,0.45454545454545453,0.45454545454545453,1.3485878960124222,0.6742939480062111
que,word,3.0,4.0,35.0,9.0,51.0,0.058823529411764705,0.0784313725490196,0.6862745098039216,0.17647058823529413,1.342834790829964,0.671417395414982
insulte,lemma,5.0,2.0,1.0,0.0,8.0,0.625,0.25,0.125,0.0,1.2987949406953985,0.6493974703476992
brice,word,4.0,1.0,19.0,3.0,27.0,0.14814814814814814,0.037037037037037035,0.7037037037037037,0.1111111111111111,1.2932019370674834,0.6466009685337417
brice,lemma,4.0,1.0,19.0,3.0,27.0,0.14814814814814814,0.037037037037037035,0.7037037037037037,0.1111111111111111,1.2932019370674834,0.6466009685337417
l,word,4.0,0.0,7.0,1.0,12.0,0.3333333333333333,0.0,0.5833333333333334,0.08333333333333333,1.2806721295208872,0.6403360647604436
faire,word,7.0,2.0,21.0,1.0,31.0,0.22580645161290322,0.06451612903225806,0.6774193548387096,0.03225806451612903,1.2803204932011591,0.6401602466005796
parler,word,3.0,1.0,7.0,0.0,11.0,0.2727272727272727,0.09090909090909091,0.6363636363636364,0.0,1.2406705316766884,0.6203352658383442
non,lemma,0.0,1.0,8.0,4.0,13.0,0.0,0.07692307692307693,0.6153846153846154,0.3076923076923077,1.2389012566026305,0.6194506283013153
non,word,0.0,1.0,8.0,4.0,13.0,0.0,0.07692307692307693,0.6153846153846154,0.3076923076923077,1.2389012566026305,0.6194506283013153
