marker_value,marker_type,Colere,Degout,Joie,Peur,Surprise,Tristesse,Admiration,Culpabilite,Embarras,Fierte,Jalousie,total_count,P(Colere),P(Degout),P(Joie),P(Peur),P(Surprise),P(Tristesse),P(Admiration),P(Culpabilite),P(Embarras),P(Fierte),P(Jalousie),entropy,normalized_entropy
c,word,23.0,9.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,36.0,0.6388888888888888,0.25,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2651680569341983,0.3657155846406237
photo,lemma,8.0,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,14.0,0.5714285714285714,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,1.2638091738835462,0.3653227793476006
ça,word,18.0,3.0,0.0,0.0,1.0,3.0,0,0.0,0.0,0.0,0.0,25.0,0.72,0.12,0.0,0.0,0.04,0.12,0.0,0.0,0.0,0.0,0.0,1.2611191885631823,0.36454519920817197
.,punctuation,15.0,2.0,0.0,0.0,0.0,8.0,0,0.0,0.0,0.0,0.0,25.0,0.6,0.08,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,1.2597218324096136,0.3641412726943364
j,lemma,4.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.6666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.2516291673878228,0.36180196788536356
quand,lemma,8.0,2.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,0.0,12.0,0.6666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,1.2516291673878228,0.36180196788536356
quand,word,8.0,2.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,0.0,12.0,0.6666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,1.2516291673878228,0.36180196788536356
j,word,4.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.6666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.2516291673878228,0.36180196788536356
faut,word,4.0,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.6666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.2516291673878228,0.36180196788536356
on,word,42.0,13.0,3.0,1.0,0.0,0.0,0,0.0,0.0,1.0,0.0,60.0,0.7,0.21666666666666667,0.05,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,1.2512583356967586,0.3616947734869929
elle,word,24.0,4.0,1.0,0.0,2.0,0.0,0,0.0,1.0,0.0,0.0,32.0,0.75,0.125,0.03125,0.0,0.0625,0.0,0.0,0.0,0.03125,0.0,0.0,1.248778124459133,0.360977831656357
vie,lemma,17.0,6.0,1.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,25.0,0.68,0.24,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,1.2439904575514165,0.35959388555321004
vie,word,17.0,6.0,1.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,25.0,0.68,0.24,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,1.2439904575514165,0.35959388555321004
casser,lemma,16.0,1.0,3.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,22.0,0.7272727272727273,0.045454545454545456,0.13636363636363635,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,1.2433003685389576,0.3593944050926797
qu'on,word,10.0,2.0,0.0,0.0,0.0,3.0,0,0.0,0.0,0.0,0.0,15.0,0.6666666666666666,0.13333333333333333,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.2419460322060458,0.35900291409583057
votre,lemma,18.0,4.0,0.0,0.0,0.0,1.0,0,0.0,0.0,2.0,0.0,25.0,0.72,0.16,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.08,0.0,1.2415101887362598,0.35887692707893515
pour,lemma,22.0,4.0,2.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,30.0,0.7333333333333333,0.13333333333333333,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,1.2366407419411674,0.35746934128684754
pour,word,22.0,4.0,2.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,30.0,0.7333333333333333,0.13333333333333333,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,1.2366407419411674,0.35746934128684754
ton,lemma,49.0,8.0,2.0,0.0,2.0,2.0,0,1.0,0.0,0.0,0.0,64.0,0.765625,0.125,0.03125,0.0,0.03125,0.03125,0.0,0.015625,0.0,0.0,0.0,1.2324877755992936,0.3562688647925297
sur,lemma,6.0,2.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9.0,0.6666666666666666,0.2222222222222222,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.224394445405986,0.35392936770586797
sur,word,6.0,2.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9.0,0.6666666666666666,0.2222222222222222,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.224394445405986,0.35392936770586797
gros,lemma,22.0,20.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,44.0,0.5,0.45454545454545453,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,1.2197484934607565,0.35258638641373896
julien,lemma,13.0,3.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,19.0,0.6842105263157895,0.15789473684210525,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.215533232382473,0.35136790270226037
julien,word,13.0,3.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,19.0,0.6842105263157895,0.15789473684210525,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.215533232382473,0.35136790270226037
cela,lemma,17.0,2.0,0.0,0.0,1.0,3.0,0,0.0,0.0,0.0,0.0,23.0,0.7391304347826086,0.08695652173913043,0.0,0.0,0.043478260869565216,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,1.2087030080822634,0.3493935251012081
!,punctuation,22.0,4.0,0.0,0.0,0.0,6.0,0,0.0,0.0,0.0,0.0,32.0,0.6875,0.125,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,1.1994602933016414,0.3467217813584418
veut,word,10.0,5.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,16.0,0.625,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,1.198192411043098,0.3463552811935844
s'en,word,9.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,14.0,0.6428571428571429,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,1.1981174211304033,0.3463336042474957
te,lemma,34.0,10.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,48.0,0.7083333333333334,0.20833333333333334,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,1.1902144787722264,0.344049141587329
au,word,8.0,3.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,12.0,0.6666666666666666,0.25,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.188721875540867,0.3436176824934946
au,lemma,8.0,3.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,12.0,0.6666666666666666,0.25,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.188721875540867,0.3436176824934946
fatimer,lemma,8.0,3.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,12.0,0.6666666666666666,0.25,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,1.188721875540867,0.3436176824934946
fatima,word,8.0,3.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,12.0,0.6666666666666666,0.25,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,1.188721875540867,0.3436176824934946
dire,lemma,18.0,3.0,1.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,24.0,0.75,0.125,0.041666666666666664,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,1.176065103715944,0.3399590549441781
brice,word,19.0,2.0,2.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,25.0,0.76,0.08,0.08,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,1.1754312795575996,0.33977583867393024
ta,word,34.0,5.0,2.0,0.0,2.0,0.0,0,1.0,0.0,0.0,0.0,44.0,0.7727272727272727,0.11363636363636363,0.045454545454545456,0.0,0.045454545454545456,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,1.1734457759793804,0.33920189942693874
fait,word,7.0,0.0,1.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,10.0,0.7,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.1567796494470395,0.3343843084554757
gueule,lemma,5.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.0,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1488348542809166,0.33208774762064913
falloir,lemma,5.0,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,7.0,0.7142857142857143,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,1.1488348542809166,0.33208774762064913
te,word,31.0,9.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,43.0,0.7209302325581395,0.20930232558139536,0.046511627906976744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,1.1446505538887504,0.33087821355452574
faire,word,21.0,6.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,29.0,0.7241379310344828,0.20689655172413793,0.034482758620689655,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1425175164144374,0.33026162744748394
as,lemma,8.0,2.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,11.0,0.7272727272727273,0.18181818181818182,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0957952550009336,0.31675586506681047
qui,lemma,12.0,4.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,17.0,0.7058823529411765,0.23529411764705882,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.086312840741288,0.3140148326357718
qui,word,12.0,4.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,17.0,0.7058823529411765,0.23529411764705882,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.086312840741288,0.3140148326357718
les,word,44.0,19.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,65.0,0.676923076923077,0.2923076923076923,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015384615384615385,1.0850506749443127,0.31364998489888474
