marker_value,marker_type,Colere,Degout,Joie,Peur,Surprise,Tristesse,Admiration,Culpabilite,Embarras,Fierte,Jalousie,total_count,P(Colere),P(Degout),P(Joie),P(Peur),P(Surprise),P(Tristesse),P(Admiration),P(Culpabilite),P(Embarras),P(Fierte),P(Jalousie),entropy,normalized_entropy
graisse,lemma,2.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9709505944546686,0.28066766494928874
drôle,lemma,2.0,0.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9709505944546686,0.28066766494928874
drole,lemma,2.0,0.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9709505944546686,0.28066766494928874
pote,lemma,3.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,5.0,0.6,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.9709505944546686,0.28066766494928874
par,word,3.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9709505944546686,0.28066766494928874
oe,lemma,3.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9709505944546686,0.28066766494928874
plat,lemma,3.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9709505944546686,0.28066766494928874
josiane,word,3.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,5.0,0.6,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.9709505944546686,0.28066766494928874
être,word,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,0.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.9709505944546686,0.28066766494928874
sous,word,3.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9709505944546686,0.28066766494928874
sou,lemma,3.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9709505944546686,0.28066766494928874
josiane,lemma,3.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,5.0,0.6,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.9709505944546686,0.28066766494928874
drôle,word,2.0,0.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9709505944546686,0.28066766494928874
dises,word,3.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,5.0,0.6,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.9709505944546686,0.28066766494928874
graisse,word,2.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9709505944546686,0.28066766494928874
insulte,word,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,0.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.9709505944546686,0.28066766494928874
cons,word,3.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,5.0,0.6,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.9709505944546686,0.28066766494928874
?,punctuation,38.0,0.0,1.0,0.0,5.0,3.0,0,0.0,0.0,0.0,0.0,47.0,0.8085106382978723,0.0,0.02127659574468085,0.0,0.10638297872340426,0.06382978723404255,0.0,0.0,0.0,0.0,0.0,0.9634021817317538,0.2784856843365637
un,word,18.0,11.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,29.0,0.6206896551724138,0.3793103448275862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9575534837147482,0.27679503146009216
autre,lemma,10.0,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,16.0,0.625,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.954434002924965,0.2758932992873915
part,word,5.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8.0,0.625,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.954434002924965,0.2758932992873915
part,lemma,5.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8.0,0.625,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.954434002924965,0.2758932992873915
ton,word,15.0,2.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,19.0,0.7894736842105263,0.10526315789473684,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.9530138853315971,0.2754827932419136
grosse,word,9.0,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,14.0,0.6428571428571429,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9402859586706311,0.27180359733227466
gueule,word,8.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10.0,0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9219280948873623,0.2664969846261966
luire,lemma,8.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,10.0,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.9219280948873623,0.2664969846261966
lui,word,8.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,10.0,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.9219280948873623,0.2664969846261966
pute,word,10.0,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,15.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9182958340544896,0.265447025779401
place,lemma,4.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,6.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.9182958340544896,0.265447025779401
place,word,4.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,6.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.9182958340544896,0.265447025779401
etre,lemma,4.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,6.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.9182958340544896,0.265447025779401
etre,word,4.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,6.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.9182958340544896,0.265447025779401
y,word,4.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9182958340544896,0.265447025779401
arabe,lemma,2.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9182958340544896,0.265447025779401
fai,lemma,4.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9182958340544896,0.265447025779401
oe,word,4.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9182958340544896,0.265447025779401
drole,word,2.0,0.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9182958340544896,0.265447025779401
devant,word,4.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9182958340544896,0.265447025779401
casser,word,4.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9182958340544896,0.265447025779401
pute,lemma,10.0,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,15.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9182958340544896,0.265447025779401
frere,lemma,4.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9182958340544896,0.265447025779401
devant,lemma,4.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9182958340544896,0.265447025779401
degouter,word,2.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9182958340544896,0.265447025779401
pierre,word,11.0,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,16.0,0.6875,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8960382325345574,0.25901313606178905
pierre,lemma,11.0,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,16.0,0.6875,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8960382325345574,0.25901313606178905
brice,lemma,17.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,21.0,0.8095238095238095,0.09523809523809523,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8929427417665807,0.25811833856057526
juste,word,7.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8812908992306927,0.2547502007216554
juste,lemma,7.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8812908992306927,0.2547502007216554
grave,word,3.0,7.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10.0,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8812908992306927,0.2547502007216554
chose,word,5.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,7.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.863120568566631,0.2494977972441098
insulte,lemma,5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,0.0,7.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.863120568566631,0.2494977972441098
fais,word,5.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.0,0.7142857142857143,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.863120568566631,0.2494977972441098
assume,word,2.0,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.0,0.2857142857142857,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.863120568566631,0.2494977972441098
y,lemma,5.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.0,0.7142857142857143,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.863120568566631,0.2494977972441098
pourquoi,word,5.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.0,0.7142857142857143,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.863120568566631,0.2494977972441098
porc,lemma,2.0,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.0,0.2857142857142857,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.863120568566631,0.2494977972441098
porc,word,2.0,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.0,0.2857142857142857,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.863120568566631,0.2494977972441098
pourquoi,lemma,5.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.0,0.7142857142857143,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.863120568566631,0.2494977972441098
putain,lemma,5.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,7.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.863120568566631,0.2494977972441098
putain,word,5.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,7.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.863120568566631,0.2494977972441098
nous,lemma,17.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,21.0,0.8095238095238095,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.8569957178540346,0.24772731833665013
nous,word,17.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,21.0,0.8095238095238095,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.8569957178540346,0.24772731833665013
parle,lemma,8.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,11.0,0.7272727272727273,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8453509366224364,0.2443612216724284
savoir,lemma,9.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,12.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8112781244591328,0.23451197014228103
veux,word,6.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8112781244591328,0.23451197014228103
avec,lemma,12.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,16.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8112781244591328,0.23451197014228103
avec,word,12.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,16.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8112781244591328,0.23451197014228103
ne,lemma,10.0,0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,0.0,0.0,13.0,0.7692307692307693,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.7793498372920851,0.22528262535771074
ne,word,10.0,0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,0.0,0.0,13.0,0.7692307692307693,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.7793498372920851,0.22528262535771074
gens,word,7.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9.0,0.7777777777777778,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7642045065086203,0.22090464294526152
degouter,lemma,2.0,7.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9.0,0.2222222222222222,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7642045065086203,0.22090464294526152
chose,lemma,7.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,9.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.7642045065086203,0.22090464294526152
gens,lemma,7.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9.0,0.7777777777777778,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7642045065086203,0.22090464294526152
parle,word,11.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,14.0,0.7857142857142857,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74959525725948,0.21668162284842404
vos,word,11.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,14.0,0.7857142857142857,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74959525725948,0.21668162284842404
alors,word,18.0,1.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,21.0,0.8571428571428571,0.047619047619047616,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7228578977329688,0.20895279266069416
alors,lemma,18.0,1.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,21.0,0.8571428571428571,0.047619047619047616,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7228578977329688,0.20895279266069416
avant,lemma,4.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7219280948873623,0.20868401936261904
mère,word,4.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7219280948873623,0.20868401936261904
avant,word,4.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7219280948873623,0.20868401936261904
es,word,4.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7219280948873623,0.20868401936261904
peu,lemma,4.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7219280948873623,0.20868401936261904
gars,lemma,4.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7219280948873623,0.20868401936261904
mère,lemma,4.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7219280948873623,0.20868401936261904
cul,lemma,4.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7219280948873623,0.20868401936261904
savoir,word,4.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7219280948873623,0.20868401936261904
deja,word,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,5.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.7219280948873623,0.20868401936261904
cul,word,4.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7219280948873623,0.20868401936261904
gars,word,4.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7219280948873623,0.20868401936261904
arrete,word,9.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,11.0,0.8181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6840384356390417,0.1977314515927593
arrete,lemma,9.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,11.0,0.8181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6840384356390417,0.1977314515927593
mere,lemma,14.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,16.0,0.875,0.0625,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.6685644431995964,0.19325846465580673
),punctuation,0.0,1.0,5.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.0,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6500224216483541,0.18789861841651434
porter,word,5.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.8333333333333334,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.6500224216483541,0.18789861841651434
insulter,lemma,5.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,6.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.6500224216483541,0.18789861841651434
couille,lemma,5.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6500224216483541,0.18789861841651434
donc,lemma,5.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.8333333333333334,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.6500224216483541,0.18789861841651434
donc,word,5.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.8333333333333334,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.6500224216483541,0.18789861841651434
blagu,lemma,5.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6500224216483541,0.18789861841651434
couilles,word,5.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6500224216483541,0.18789861841651434
ma,word,5.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6500224216483541,0.18789861841651434
lesbiennes,word,1.0,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6500224216483541,0.18789861841651434
t'as,word,10.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,12.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6500224216483541,0.18789861841651434
venir,lemma,5.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6500224216483541,0.18789861841651434
porter,lemma,5.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.8333333333333334,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.6500224216483541,0.18789861841651434
v,lemma,11.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,13.0,0.8461538461538461,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.6193821946787638,0.17904160652920906
muslim,word,6.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.0,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5916727785823275,0.17103178897792262
stop,lemma,6.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.0,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5916727785823275,0.17103178897792262
muslim,lemma,6.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.0,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5916727785823275,0.17103178897792262
stop,word,6.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.0,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5916727785823275,0.17103178897792262
theo,lemma,6.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.0,0.8571428571428571,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5916727785823275,0.17103178897792262
theo,word,6.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.0,0.8571428571428571,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5916727785823275,0.17103178897792262
ferme,word,6.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.0,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5916727785823275,0.17103178897792262
con,word,6.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.0,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5916727785823275,0.17103178897792262
