marker_value,marker_type,Comportementale,Designee,Montree,Suggeree,total_count,P(Comportementale),P(Designee),P(Montree),P(Suggeree),entropy,normalized_entropy
fatima,word,1.0,1.0,9.0,3.0,14.0,0.07142857142857142,0.07142857142857142,0.6428571428571429,0.21428571428571427,1.4299111709758698,0.7149555854879349
ou,word,2.0,1.0,8.0,1.0,12.0,0.16666666666666666,0.08333333333333333,0.6666666666666666,0.08333333333333333,1.4182958340544896,0.7091479170272448
que,lemma,3.0,7.0,43.0,13.0,66.0,0.045454545454545456,0.10606060606060606,0.6515151515151515,0.19696969696969696,1.4104324111070732,0.7052162055535366
que,word,3.0,7.0,43.0,13.0,66.0,0.045454545454545456,0.10606060606060606,0.6515151515151515,0.19696969696969696,1.4104324111070732,0.7052162055535366
tous,word,3.0,0.0,12.0,9.0,24.0,0.125,0.0,0.5,0.375,1.4056390622295665,0.7028195311147832
",",punctuation,5.0,2.0,28.0,7.0,42.0,0.11904761904761904,0.047619047619047616,0.6666666666666666,0.16666666666666666,1.3954825954822614,0.6977412977411307
parce,word,0.0,1.0,4.0,4.0,9.0,0.0,0.1111111111111111,0.4444444444444444,0.4444444444444444,1.3921472236645345,0.6960736118322672
parce,lemma,0.0,1.0,4.0,4.0,9.0,0.0,0.1111111111111111,0.4444444444444444,0.4444444444444444,1.3921472236645345,0.6960736118322672
fait,word,0.0,2.0,7.0,3.0,12.0,0.0,0.16666666666666666,0.5833333333333334,0.25,1.384431504340598,0.692215752170299
qu'il,word,0.0,2.0,1.0,4.0,7.0,0.0,0.2857142857142857,0.14285714285714285,0.5714285714285714,1.3787834934861753,0.6893917467430877
deja,word,2.0,1.0,4.0,0.0,7.0,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.0,1.3787834934861753,0.6893917467430877
marrant,lemma,0.0,4.0,1.0,2.0,7.0,0.0,0.5714285714285714,0.14285714285714285,0.2857142857142857,1.3787834934861753,0.6893917467430877
marrant,word,0.0,4.0,1.0,2.0,7.0,0.0,0.5714285714285714,0.14285714285714285,0.2857142857142857,1.3787834934861753,0.6893917467430877
fait,lemma,2.0,0.0,4.0,1.0,7.0,0.2857142857142857,0.0,0.5714285714285714,0.14285714285714285,1.3787834934861753,0.6893917467430877
avant,word,1.0,0.0,3.0,1.0,5.0,0.2,0.0,0.6,0.2,1.3709505944546687,0.6854752972273344
avant,lemma,1.0,0.0,3.0,1.0,5.0,0.2,0.0,0.6,0.2,1.3709505944546687,0.6854752972273344
justine,lemma,0.0,1.0,3.0,1.0,5.0,0.0,0.2,0.6,0.2,1.3709505944546687,0.6854752972273344
vais,word,2.0,0.0,6.0,2.0,10.0,0.2,0.0,0.6,0.2,1.3709505944546687,0.6854752972273344
